Found 4 args.
Observation: IS1009a; Result size: 222; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
A	54.95	60.85	Okay . Everybody ready ? Uh I think the first thing we do is introduce ourselves 	
D	55.7	56.03	Okay . 	
C	56.9	57.04	Yeah . 	
D	57.25	57.7	I think so . 	
D	61.54	62.57	Yeah , that's a good plan . 	
A	62.0	67.29	and everybody's name and what your function is ? So maybe we start with you ? 	
B	66.63	80.83	Okay . Yeah , my name is Francina . And I'm uh an user interface my role is uh the main responsibility is user interface . And my role is to design uh a television remote control . 	
A	76.08	76.43	Mm-hmm . 	
A	81.04	82.05	Mm-hmm . Okay . 	
D	83.39	86.94	And I'm a marketing person . I wanna figure out how to sell them . 	
A	87.49	88.59	Mm-hmm . And your name is ? 	
D	88.82	89.69	My name is Eileen . 	
A	90.21	90.52	Okay . 	
C	91.31	107.4	Yeah . Uh I'm Jeanne-Oui . Um uh my role is industrial designer and my responsibilities are uh uh um deal with the technical-functional designs and specifications of user interface and dealing with user interface design . 	
A	107.88	118.17	Very good . And as you already know I am Betty . I am the project manager for today . So why don't we look at the presentation to see what we really are supposed to do . 	
A	118.757	119.91	Um . 	
D	118.76	119.05	Okay . 	
A	121.344	132.39	Yes y opening , acquaintance , tool training well , the tools are , I think , we already I guess the tool is really our the computer , as far as I can see . 	
D	131.13	131.49	Mm-hmm . 	
A	132.87	146.77	Uh we get ins each of us will get instructions and we'll take it from there . Project plan , that falls under the same heading pretty much . Um , I don't think we have any great discussion at this point . Um . 	
D	145.55	145.79	No . 	
A	149.44	162.32	Here is what this thing should be . This thing we are gonna um uh design is a new remote control . Uh should be original , trendy , and , of course , user friendly . 	
D	159.51	159.78	Mm-hmm . 	
D	162.992	163.392		
D	164.672	165.008		
A	165.19	166.99	So maybe you wanna make some notes of that . 	
D	188.06	188.34	Okay . 	
A	195.04	195.27	Okay ? 	
D	195.56	195.82	Mm-hmm . 	
A	196.38	202.4	All right . Here is what the functional design is supposed to achieve . Um . 	
A	203.78	218.2	That is it's gonna be individual work and then at the meeting we'll discuss what uh we have come up with . The same goes for the conceptual design , there will be individual work whic and then discussion afterwards . 	
A	219.44	222.12	Detailed design , same thing basically . 	
D	220.46	221.552	Mm 'kay so 	
D	222.76	226.45	Three different types of design that we're gonna be concerned with okay . 	
A	225.98	227.27	Mm-hmm . Mm-hmm . 	
D	236.11	238.38	Functional , conception 	
D	241.01	242.5	and detailed . 	
A	243.94	245.744	I can't write with this thing . 	
D	248.128	251.232	Maybe we should redesign it . 	
A	249.488	253.04	Yes . 	
C	250.4	251.2		
D	252.79	254.69	After we've finished the remote control we'll get to that . 	
A	254.688	257.74	Yeah , okay . All right ? 	
A	260.02	272.52	Then , tool training try out the white board , participant can draw their favourite animal . Does anybody want to go and see how the white board works ? So that in case we have to , in the next meeting , present something on the white board . 	
A	274.68	276.128	You wanna go Eileen and 	
D	276.23	278.89	Okay , I'll see what I can do . See if I r 	
A	277.59	280.144	Whether you without hanging yourself . 	
D	280.08	285.968	See if I remember how to draw a kitty cat or a rabbit or something . 	
C	283.488	284.544		
B	283.776	285.12		
D	287.296	288.16		
A	288.1	291.15	And remember you have to press so it works . Mm-hmm . 	
D	290.06	297.75	So that it will record okay . Um uh um traditional kitty cat . 	
A	307.52	310.896	Fat , a fat cat . 	
D	307.984	318.45	I've a very fat cat . And it likes to sit like that . Okay . 	
B	308.16	308.688		
C	310.24	311.056		
A	312.304	314.432		
C	312.96	313.28		
