Found 4 args.
Observation: TS3003a; Result size: 309; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
A	13.46	27.181	So uh good morning . I see you all find your places . Is everybody sitting on the right place ? Yeah ? I guess so . So 	
B	15.344	15.568	Morning . 	
D	15.37	15.81	Morning . 	
C	16.42	16.7	Morning . 	
D	19.67	20.03	Yep . 	
A	32.64	33.37	Let's see . 	
A	35.95	48.42	First I will introduce myself . I don't know if uh if everybody knows me , so I'm Bart , hello . Hello . Bart . Hello . Hello . Bart . Welcome . 	
D	40.79	41.49	My name's Frank . 	
B	42.99	43.62	I'm . 	
C	45.44	45.92		
D	48.1	48.44	Thank you . 	
A	50.14	58.01	Uh let's see . Uh let's start off um with a little presentation . 	
A	62.27	62.92	Uh 	
A	65.58	101.45	Now first I'll tell you a little bit about the setting . You can see there are a few cameras here . They'll record uh our actions and you'll have wires and microphones that will record your voice . Uh there are also some microphones there but th um you don't have to pay a lot of attention on those , because it will uh disappear when you don't attend to it . So is there a project documents folder ? There are some notes in it already I see , some documents . Uh I'll start with the presentation kick off . 	
A	106.87	113.75	Is being modified by the administrator . Uh okay . Let's do it read only . 	
D	109.472	113.53	Hmm , that's interesting . 	
B	109.92	111.904		
A	116.66	138.65	Well I don't know if you've noticed , but uh we're working for Real Reaction . Uh it's a company in uh electronics . We put fashion in electronics , uh we make it work , uh we put a lot of effort in design and in the product itself . I'm Bart the project manager so I'll direct you through the project . 	
A	140.63	141.77	This is our agenda . 	
A	142.902	147.71	Uh we have our opening acquaintance , tool training , project plan description closing . 	
D	143.88	144.912		
A	149.67	159.02	Uh maybe I can sit down , then I can take some notes or Let's see . 	
A	161.34	190.52	Maybe you can take the minutes once in a while . I dunno it's not a lot of work , but just uh if you hear something uh you can write down , just write it down . Uh as you can see uh it's the opening , aquaintance tool training . Aquaintance is a point we've done a bit . Um have you all seen the corporate website already ? Yeah . Have you seen any flaws in it ? I think I found one . No ? 	
D	163.72	164.0	Sure . 	
D	182.45	183.53	Yep . Visit it . 	
B	182.69	182.86	Yep . 	
B	189.69	189.83	Hmm ? 	
D	190.89	192.672	Can't say I paid much attention to it , but 	
A	193.52	193.96	I can 	
A	196.05	252.14	see if it works this way . No , it doesn't work here . Okay no problem . But um on the corporate information side there's a th uh there was Real Remote instead of Real Reaction . Real Remote is not really the company we're we are , but it's just a little fault . Um okay , what are we going to do ? Uh our project aim is as you can see a new remote control . It has to be original , trendy , and user friendly . So these are uh the points why uh we also hired you . We've got the Marketing Expert for uh the trendy and user friendly look . And Industrial Designer uh there's also user friendly and a bit original . 	
C	197.267	198.266		
B	197.792	199.49		
D	212.16	212.68	Oh yeah . 	
B	216.09	216.79	Okay . Yeah . 	
D	238.31	238.61	Okay . 	
A	252.983	258.992	And we've got our User Interface Designer . He's also uh 	
B	257.2	257.32	Yep . 	
A	260.37	262.06	That's about the new remote control . 	
A	263.16	279.92	Uh project method um is uh there are three phases we are going through . First is functional des uh design , individual work , meetings . After the functional design , then the conceptual design and the detailed design . 	
A	281.136	286.84	I had some role indications on here . 	
A	288.19	328.16	But I think you know it already by yourself . The Industrial Designer is going to work on the working design , uh components design and a bit of the look and feel design . Uh the User Interface Designer is going to do the technical function design , user interface concept and user interface design . And the marketing expert is doing a little bit of user requirement specification , trend watching and project uh product ev evaluation . So that's a bit what you're going to do . But that will be all worked out in uh other meetings . 	
D	329.452	330.336		
A	332.18	362.51	Then we've got our first tool training . We are going to work with a lot of high-tech tools here , so it's ab it's handy if we have a little bit of training first . As you can see we've got the smart boards here and here in the white board . Um in the white board here there's a little tool bar on this side . Here are some functions . You can save . N uh these functions we don't have anything to do with , only undo , you can undo a little 	
A	363.9	408.73	uh piece of drawing . A blank new document for each person . Uh select a pen , eraser . Capture we don't have to do anything with . Uh then we've got our pen . This pen . It's really funny because you can draw with it on this page um in the think it is form of . You can also select the current colour and the line width . But then first you have to select the pen function . But we're going to work with it in a minute . So okay . Uh that's very simple and it's easy to uh draw your findings and drawings on there . 	
D	380.19	380.66	'Kay . 	
B	392.63	392.76	Hmm . 	
A	409.655	410.81	Uh then 	
A	412.4	436.97	a short thing about documents . We've got our shared folder , uh project project what was it ? Project documents I think . But all you will found that already because there are a lot of documents in it already , so it will be okay . And these are available on the smart boards as well , so if you have a document you wanna show , just open it from the folder . 	
B	435.26	435.65	Okay . 	
B	436.27	436.38	Yeah . 	
A	439.41	449.47	Here is a simple tool bar . It's what I just said , it's save , print , move back or forward one page . You can switch between the different drawings . 	
A	452.64	454.79	And then we're going to try out the white board . 	
C	455.152	455.872		
A	455.92	469.6	So as you can see we g all going to draw a animal . Just to uh uh just to get a bit familiar with it . Mouse wasn't running away . 	
B	457.459	460.603		
D	467.504	468.425		
B	468.075	468.741		
D	469.28	470.06	That was interesting . 	
A	471.33	477.21	Is everybody is anybody playing with the mouse ? No . Okay . We're going to uh draw animal . 	
D	473.114	475.78	Innocent . 	
B	474.66	475.289		
D	477.808	478.352		
A	477.934	508.01	And uh just sum up a few of its favourite characteristics . Um the only thing we have to uh look after is that we use different colours , and different line width . Uh there's I can start from now . I will . You can use this pen by holding it like a like a little child . Because if you hold it like this , the sensors will get blocked and then the drawing won't get good . 	
D	484.894	488.364		
D	496.169	497.376		
B	506.21	506.56	Okay . 	
D	506.74	506.93	'Kay . 	
A	509.3	541.936	Another thing is you have to be uh a bit slow . 'Cause if you're going to draw like really fast then um the pen won't hold up . So we choose form of current colour uh I think grey is appropriate . Then the line width . I think seven will be nice . Now you'll see my drawing capabilities . These are not very much , but uh 	
B	537.984	538.544		
A	543.62	545.79	Uh , see you have to do it real slow . 	
A	548.288	549.145		
A	554.37	555.6	Oh 	
C	560.877	563.231		
B	561.792	565.36		
A	561.968	564.671		
D	562.384	565.648		
B	569.81	570.19	Sure . 	
A	571.13	578.0	Ah I was trying to draw a dolphin , but I think his nose has to be a little bit But it's close . 	
B	571.632	571.968		
B	572.917	573.556		
D	574.32	577.112		
B	575.147	575.739		
D	577.62	578.93	I'm thinking about a swordfish . 	
A	579.62	583.31	So what yeah it's this is bit of the swordfish . Yeah , he hasn't got an eye . 	
B	579.9	580.63	Yeah . Yeah . 	
D	580.149	582.258		
C	583.648	585.16	Mm-hmm . 	
B	583.984	586.018		
A	584.94	591.97	Woah . Now we've got another function . We've got the eraser . And then you can undo 	
D	587.47	588.666		
D	588.666	595.386	. 	
A	593.54	595.76	this easily . 	
D	595.67	595.97	Meat . 	
A	596.84	607.442	Ah it's okay . And I've got to write down a few of its characteristics . Uh is 	
B	597.152	598.151		
A	612.42	614.69	They've got no text tool , no . 	
A	617.56	617.71	Uh . 	
D	626.864	627.86		
B	627.05	628.064		
A	627.184	637.6	Okay . This is typically a undo action , I think . Pen . 	
D	633.99	635.712	Yeah . 	
A	639.89	641.07	Maybe you have to hold it a bit 	
A	643.0	653.552	upside-down . I think that's it because if you wan ar are going to do it like this then it will be a stripe . But I don't know , I'm just trying . 	
A	655.68	663.2	This is not my work , okay . Maybe you have to use 	
D	656.469	658.17		
C	656.912	657.44		
D	661.22	661.5	Hmm . 	
A	670.81	671.26	Oh . 	
D	682.96	685.238		
A	684.57	689.8	Uh . I think it's a it wants to draw a another animal ? I don't know . 	
A	691.57	693.19	It lives for the fun . 	
A	694.96	695.799	So 	
A	700.24	714.07	It's my characteristic uh characteristic about the dolphin . It lives for the fun . So now I'm gonna hand over the pen on the new blank sheet to you . Go ahead . 	
D	704.56	705.626	Okay . 	
B	704.99	705.28	Okay . 	
B	706.678	707.085		
D	712.06	712.46	Thank you . 	
D	714.35	716.29	Okay . 	
D	721.27	722.5	Gonna use a different line width . 	
D	724.63	726.13	And I'm gonna draw in black . 	
D	729.64	735.84	There . 'Kay , I'm not much of an artist , but here we go . 	
A	743.56	751.26	Maybe it's easier to draw the smaller line width , I think . Because this is going a lot better than uh I did . 	
B	748.2	748.37	Hmm . 	
C	765.808	766.944		
B	767.04	767.47	A sheep . 	
D	783.14	783.53	Mm . 	
