Found 4 args.
Observation: IS1009b; Result size: 409; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
A	37.32	38.65	Okay , is everybody ready ? 	
C	39.06	39.27	Yeah ? 	
D	39.73	42.79	Yeah I'd to just put on my microphone here and I'll be right with you . 	
A	43.16	43.5	Mm-hmm . 	
D	45.13	45.35	Okay ? 	
A	47.17	58.69	Um I take it you all have received instructions as to what you were supposed to do and um 	
C	55.21	55.44	Mm ? 	
B	55.71	56.11	Yes . 	
A	60.79	67.33	I think the Marketing Manager probably should go first , addressing the needs and desires . 	
D	75.391	77.03	Okay you want me to start right now ? 	
A	78.43	79.03	Yeah , mm-hmm . 	
D	79.32	86.44	Okay . Well , could you um put my slides up 'cause I think it might be helpful if uh we looked at the slides at the same time . 	
A	79.93	80.292		
A	86.28	86.64	Okay . 	
A	95.59	97.05	You're participant four . 	
D	96.82	98.86	I'm participant four I believe . Yes uh-huh . 	
D	100.69	101.13	'Kay . 	
A	100.96	103.73	Okay , and now I can uh full screen . 	
C	104.21	104.61	Open . 	
A	106.29	107.53	Uh , okay , okay . 	
D	108.47	119.58	There we go . Okay well I think we have introduced ourselves , so the functional requirements are is is part of my goal but why don't we pass right to the second slide . 	
C	110.39	111.17	And then full screen . 	
D	120.69	165.31	Cause that's where m my discussion starts . Right well um since I'm in charge of trying to figure out what we should put on this thing since I have to try to sell it . Um I thought that the method I should follow would be gather suggestions from everybody , and th the reason I just put that there like that is that uh in the init in the initial stage I think I should just be open to lots of suggestions . You know you can say anything you want no matter how silly it sounds you know it should run your car , it should heat up your motor if should um turn on your C_D_ whatever you want it to do um and then as we go on what we'll have to do is accept and eliminate these suggestions according to um design and budget feasibility . 	
C	130.02	130.29	Mm-hmm . 	
C	155.16	155.39	'Kay . 	
D	165.62	213.22	So I'll be coming to you um frequently as the Industrial Expert to tell me how hard it's gonna be to add a feature or how expensive it's gonna be or if your time , if it takes five years to develop this it's just something we can't do . So in the beginning just have a big puddle of things that we anybody can th throw anything in and then just weed things out that can't be done for one reason or another , and then the things that seem the most attractive that to uh to a customer we'll try to then prioritise those . So that was um what I meant there , and as I said on the slide there consulting the Industrial Engineer about that and the other thing is timing is really gonna be as important as money , because if we're gonna sell this thing , I think the best time to sell it is as a Christmas present . 	
C	169.39	169.6	Mm-hmm . 	
C	171.69	172.05	Yeah . 	
C	173.86	173.98	Yeah . 	
C	174.57	175.03	Yeah . 	
C	177.46	178.4	Hmm hmm . 	
C	179.12	179.32	Mm . 	
C	182.06	182.36	Yeah . 	
C	195.35	195.62	Mm-hmm . 	
C	197.33	197.65	Yeah . 	
D	213.64	261.02	Twenty five Euros makes a nice little present , and we want it to be an impulse purchase , we want somebody to see it and think it's , gee I just gotta have that . And take out their wallet and buy it . So it's gotta be really attractive and it but it's gotta go to market by September , 'cause anything that you don't already have out there in September showing it around , isn't gonna sell for Christmas . Um and then I'll be coming to you as the User Interface person to try to tell me from your point of view what are the most friendly features that we could put on it and try to prior help me with that prioritising of uh of the features and of the the look and the colour and I'll be coming back to you to help weed out those suggestions from that point of view . 	
C	218.1	218.41	Mm . 	
C	232.67	233.02	Yeah . 	
B	250.63	250.89	Okay . 	
B	260.98	261.32	Okay . 	
D	261.31	292.06	So I'll be coming to you for how much is it gonna cost us and how long is it gonna take you , and I'll be coming to you to tell me what's gonna make somebody take out their wallet you know , what what's what's gonna really be what they call a sizzle , 'cause we gotta sell this sizzle . A lot of times the thing that works the best from an engineering point of view isn't the thing that somebody's really just gonna take out their wallet and buy for Christmas for for their child or for their husband or whatever . Okay can we go to the next slide please ? 	
C	264.84	265.54	Mm mm-hmm . 	
B	269.25	269.98	What features . 	
B	275.7	277.41	S sellable . Yes . 	
C	277.375	278.245		
B	289.01	289.27	Yes . 	
D	294.86	344.59	Alright I I already did a little bit of research after our first meeting where we threw out some ideas and it looks to me that within the budget that we're looking at the uh the whole house idea really isn't gonna be possible . So I'd like your suggestions to come back to the other slide where I was saying we we could suggest anything . I'd like the suggestions to be really specific , so that we'll have a list of things we can cross off , not something like you know whole house control what'll be And then I found on the internet from from my research that some extended electronic entertainment control should be possible . At the budget that we're looking at and at the price point we're looking at , we should be able to make it work the T_V_ , the V_C_R_ , the stereo set um maybe something else cute like a coffee pot or one other appliance or maybe a lamp . I have to wind up ? 	
A	310.144	310.528		
A	341.306	381.07	Uh okay , can can I at this point interject um something ? Um we have received instruction from higher up that certain things should not be uh considered . Um the one thing for example something to eliminate maybe that's the teletext , because that's sort of outdated with the internet , and according to to higher management the it should only control the T_V_ , mostly because they feel that it's too comp complex a task to um to to include other things , and they are concerned with the time to market . 	
D	345.68	346.38	Yeah , sure . 	
D	353.2	353.6	Okay . 	
D	361.11	361.46	Okay . 	
C	361.5	361.68	Mm-hmm . 	
D	362.632	363.296		
C	374.39	375.82	Complicated , yeah , of course . 	
C	381.27	381.44	Yeah . 	
D	381.32	382.12	Of course , yeah . 	
B	381.85	382.38	Okay . 	
A	381.97	425.1	Okay . Um and the and the third thing that they wanna make sure um that their that the corporate image is being maintained , and that the corporate colour and design are being used on the product , so that it's easy that that that they can be easily identified as a product of of of the company , and that there's no mistake that it could be somebody else who is bringing this out . So I just wanted to interject this here so we're not getting too much off track here with uh with the things we wanna look at . These were instructions from higher up so we have to eliminate uh these things , so it's only gonna be T_V_ , but the one thing maybe that could be um eliminated is the teletext uh idea . 	
D	383.08	384.4	Okay , so that's something 	
C	404.12	404.34	Mm-hmm . 	
D	418.2	418.959	Okay so 	
D	425.4	425.74	Okay . 	
A	426.38	427.29	Mm 'kay . 	
B	426.99	427.55	Okay . 	
D	427.0	478.73	Alright , thanks for that . Um alright now other things that I found out on in my research is that the complaints that people have about the remote controls that are out there now . 'Cause a lot of them take too much time to learn how to use , and that was thirty four percent but even more important the thing that we did address in our last meeting that frequently it's lost somewhere in the room . Um so those are two things that we definitely do wanna address , uh we wanna s make it as simple as possible , we wanna make it um obvious and intuitive to use , and then the things about finding it we talked about the a light emitting thing as well as uh maybe a beep , and I think that those are things after my research that we definitely wanna try to incorporate . 'Kay can we go to the next slide please ? 	
D	479.65	509.83	Okay , so , my personal preferences in this um project are really have to concentrate on the sizzle . That is the selling point , the thing that's gonna make it an impulse purchase . Uh because once there's no be-back , well in sales they always say you know , be-backs don't come back . If somebody says , oh I'll come back and get it next week you're dead . They're never gonna come back and buy it . You've gotta make it attractive enough so they buy it now now now w now is a big word in in my book for selling this thing . 	
C	497.664	498.0		
D	510.54	558.95	And , in order to make it really sellable we've gotta shorten the learning curve , make sure it's really intuitive and easy to use . We have to have as few buttons as possible , because more buttons is more confusion , so that's why I'm saying , simplicity is good . Finding it's important , obviously you can't use it if you can't find it . So we've gotta concentrate on the features that help you find it , and I've already said this several times but I put it down in writing here , it should be an attractive impulse purchase at twenty five Euros . So it has to have enough value that when somebody looks at it they say , uh twenty five Euros I'm not gonna take that . Has to be so great that they're gonna say , uh twenty five Euros isn't much . Um and then maybe a motto , like we put fashion in electronics might be something we can use in our marketing campaign . Okay that's uh about it for me right now . 	
C	556.58	556.82	Yeah . 	
A	559.536	560.07	Okay . 	
A	563.03	564.6	And uh 	
A	565.99	574.8	who would be next , uh , I guess that would be you . Mm-hmm . You want me to get your slide show up ? Mm-hmm . 	
C	571.19	571.88	Yeah 'kay . 	
