Found 4 args.
Observation: TS3009b; Result size: 810; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
D	61.63	63.82	Great man . Who starts ? 	
A	64.47	70.51	Well I'll uh start just with another presentation , so then we can uh look at th at the agenda uh for this meeting . 	
D	67.1	67.67	Alright , great . 	
D	70.84	71.19	Alright . 	
A	73.136	75.04	Okay . 	
A	76.66	79.55	I've put some uh new things in the in the map . 	
D	79.99	80.42	Mm-hmm . 	
A	81.28	83.057	Uh oh . 	
A	83.99	84.49	This is it . 	
A	85.84	97.66	I don't know the shortcut , so Ah F_ five . Well our functional design meeting , that's the stage we're in . And you also ha all three of you have uh prepared something about it . 	
C	93.61	94.2	Mm . 	
D	98.07	98.49	Yes . 	
A	99.75	109.136	Well um in we'll uh just have a look at the at the notes from the previous meeting , what we uh thought we had dec decided . But uh 	
A	110.82	116.9	Uh then we'll uh look at uh the three uh presentations uh from you . 	
D	117.77	118.02	'Kay . 	
A	117.84	130.69	I think you have prepared uh all three uh ? Um we'll look at th the new project requirements we uh I dunno . Y you also have uh received that mail , the new project requirements from our bosses ? 	
C	119.64	120.18	Well , yeah . 	
D	120.42	120.72	Yeah . 	
C	131.48	134.284	No . 	
D	131.99	134.848	No . You're the only one . 	
A	132.31	142.27	Oh I've received a mail with uh some additional requirements , and I'll have a look if Well I think we should show them before your presentations , because it's not really uh 	
C	136.28	136.67	Oh . 	
D	136.32	136.68	Alright . 	
A	143.6	158.24	smart uh to uh to include some things uh we can't , because of the new requirements . Well um then we can make some decisions about our remote control functions . We have to deb we have to decide it in this meeting what our function will be . 	
D	149.01	149.2	'Kay . 	
A	159.54	164.264	And then uh we can discuss uh some more closely . Uh 	
C	163.71	166.19	We have forty minutes for this uh discussion ? 	
A	165.65	174.0	Uh yeah , I think so . Well uh the closing uh we'll not uh look at it yet . 	
C	168.11	168.4	Alright . 	
B	173.872	174.441		
D	174.84	175.25	Alright . 	
A	175.7	180.37	Um now I'll look at show this board . 	
A	184.77	185.632	Um 	
A	186.95	188.59	Well uh notes , first meeting . 	
A	191.52	191.76	Now . 	
A	192.8	201.51	I gave a disc a a presentation . Uh we familiarised ourself with the boards and then we discussed some first ideas . So 	
A	202.63	203.52	we said that uh 	
A	204.76	229.77	we have to merge the strong points from our uh competitors , and uh look at their uh remote controls . We should make it uh compatible with our new D_V_D_ and other releases we have , our technical releases . Uh not too many one buttons . One recognisable button in the middle , where you do the most important functions with . And um well they can have two functions , because uh you have a D_V_D_ and a television . 	
D	208.05	208.25	Right . 	
C	216.69	217.03	Huh ? 	
C	229.856	230.5	Yeah . 	
A	230.89	235.04	Um the design has to fit the hand , be original , but also be familiar . 	
A	236.512	253.53	It's uh one of our ideas . Yeah well that wa It's just thirty minutes ago , so it's not quite uh But well I have to do it . The materials uh well should be hard plastic with rubber from , and uh well the labelling of the buttons should be indestructible . 	
C	238.228	241.275		
D	239.088	241.376		
B	239.606	240.452		
D	243.648	245.18	Yeah . 	
C	243.71	244.67	Mm-hmm , now it's right . 	
B	253.302	253.744		
A	253.71	260.32	It should be uh recognisable at all times . Yes . Well fronts were to be just like mobile telephones . 	
C	254.28	256.833	It's meant to be easily wiped out , yeah . 	
B	256.16	256.53	Mm . 	
D	256.91	257.42	Okay . 	
A	261.81	273.39	And uh the technical aspects um And also labelling of the buttons , the functions should be universal standards . Well that's just uh some ideas from the first meeting . It's quite logical al all of it . 	
