Found 4 args.
Observation: TS3009c; Result size: 925; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
A	37.38	52.55	Okay . Uh door is closed . Well , let's begin . Because if we have as much time as the last uh meeting , we'll have to hurry up . Um well I'll start with the presentation again , the agenda . 	
C	38.809	39.506		
D	43.59	44.05	I'm listening . 	
D	46.59	47.1	Right . 	
C	46.72	47.384		
C	50.968	51.366		
D	51.57	51.95	Great . 	
A	57.51	57.93	Yo . 	
A	62.15	72.51	So . Uh This one I think . Uh yeah . Well alright . 	
D	68.064	69.184		
A	73.82	87.077	Um well , I'll show you the notes . It's not as uh interesting as it should be because we just uh had the meeting , but I'll show them . We'll get your presentations again on the conceptual design . Um 	
D	78.139	80.462		
A	87.55	105.88	Then we'll have to dec decide about the control , the remote control concepts . I've put a f uh a file in the project management folder , which says exactly uh what kind of decisions we should take . So this time we exactly know what to decide about . And then we'll close again . 	
C	91.93	92.23	Mm-hmm . 	
D	102.512	104.85	Alright , great . 	
C	106.3	106.69	Alright . 	
A	107.19	107.6	Uh 	
A	109.61	114.88	Well these are some examples , but we'll talk about them later . We'll first look at your uh presentations . Alright ? 	
C	113.79	114.26	Mm-hmm . 	
A	116.71	118.95	Walter will uh start again this time ? 	
D	118.23	118.76	Yeah , great . 	
A	120.4	120.73	Yo . 	
D	120.97	122.55	Alright , Trendwatch . 	
A	123.53	124.03	'Kay . 	
D	132.016	133.0		
A	133.187	134.368		
D	138.1	138.28	Right . 	
D	141.51	156.55	I will speak about uh latest trends trends , latest fashion updates , and uh things we must not do . Uh the trends . It's very important that uh the control is fancy looking and good uh feeling . 	
A	148.72	148.88	'Kay . 	
D	157.49	177.99	Uh this because of our last model was very functional , but it uh people didn't like that , so our new mo model must be very good-looking . That's uh something you uh have to take a look at . And uh the feeling has to be very great . Also the menus and things like that they have to they have to feel great . 	
C	170.58	171.73	Mm-hmm . Alright . 	
C	178.26	178.56	Alright . 	
D	178.52	196.07	Um there's a minus uh two times here , because this is the most important point . This is uh two times as less important , and uh same for this one . Um , technological technological innovations , that's uh regarded very highly too . 	
A	185.65	187.049	Less . 	
C	186.308	187.303		
A	190.234	192.259		
D	196.382	207.856	Uh such as an uh L_C_D_ screen , uh speech uh acknowledgement , as we uh talked about earlier . So we have to have uh something like that , like we uh 	
A	203.16	203.81	Well , yeah . 	
A	207.78	210.78	L_C_D_ and our uh our fronts . 	
D	211.32	222.15	Right . Uh the last point is easy to use . Well I think that uh speaks for s for itself . I don't know who's uh who's going to look at that . Yeah ? 	
C	220.88	223.02	Easy to use ? I think that's your ta 	
A	221.54	232.416	Well , easy to use uh s is a bit uh contradictionary with the first uh Functional is not an issue , and then easy to use . Well we have to choose one of them . 	
B	223.638	226.492		
D	228.56	229.38	Yeah , I know . 	
D	232.37	238.16	I think we have to go for the first one . It's the most important one . So we have to uh take that one . 	
A	233.7	235.264	Yeah . 	
C	234.15	234.45	Mm . 	
A	238.4	238.84	Okay . 	
D	239.35	246.59	So it it it isn't very important that that it works easy . But it has to look great . 	
B	245.03	248.02	Well something fancy looking can be can be easy to use . 	
C	245.399	245.996		
A	248.61	252.33	Yeah . We'll we'll look at uh . 	
D	251.46	253.761	We'll see . 	
C	251.63	261.33	You Yeah . Yeah , yeah , you can make a very complicated uh uh remote anyway , so ease of use It's not a very comp complicated device . 	
D	257.56	258.2	Yeah , right . 	
D	260.04	274.34	But the most important thing is that it looks great and people say wow , that's real great uh great concept . Alright . Uh these are the new colours of this year . So it must be very bright , very colourful . People like this . 	
C	266.24	266.77	Alright . 	
A	266.48	266.69	'Kay . 	
C	270.56	271.612		
B	271.002	271.699		
A	271.645	272.873		
C	273.12	275.66		
A	274.272	276.889		
B	274.56	274.96		
D	275.67	290.253	So we we have to think uh in this direction . So i set your mind to it . Findings ? Fashion update ? Fruit and vegetables are cool . I am told . 	
A	278.99	279.776	So 	
B	280.692	281.389		
A	281.88	282.331	Well 	
C	287.693	292.43	Uh you think ? 	
A	288.608	290.329		
B	289.686	290.582		
D	290.43	320.0	The group we are targeting is uh very pleased with fruit and vegetables . So we we we might cons consider in front of uh in in that sort of uh way . Uh furthermore uh material , that's your part , should be very strong . I was thinking of something like uh well uh iron plate over it , maybe in a colour or something , that looks so f really flashy but it it is also strong . And that's uh also for the younger public . 	
C	293.6	294.662		
C	295.492	297.151		
A	301.33	302.209	Yeah , well 	
