Found 4 args.
Observation: ES2004c; Result size: 521; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
B	0.02	2.03	I'll wait until you're all um hooked up . 	
D	17.57	19.13	Oh good grief . 	
A	18.492	20.015		
D	22.85	23.19	'Kay . 	
B	29.76	30.24	Okay . 	
B	47.038	49.706		
D	50.13	50.55	Oh . 	
B	52.39	54.75	Put it on in that way . Thanks . 	
A	54.23	54.43	Oops . 	
B	78.08	78.56	Okay . 	
A	79.22	79.6	Mm . 	
B	80.08	83.87	Welcome back everybody , hope you've had fun . 	
C	81.696	82.256		
A	82.47	83.27	After lunch . 	
A	85.13	85.36	Yeah . 	
B	85.44	93.52	Right um this is our conceptual design meeting , um I think we're slightly ahead of ourselves 	
A	89.18	89.94	Mm-hmm . 	
B	94.77	99.69	from the last meeting , I th I I think yeah um . 	
C	96.01	98.26	Yeah , yeah I was getting that impression as well . 	
A	96.42	96.63	Mm-hmm . 	
D	98.28	98.41	Mm . 	
B	101.04	111.6	This is where we talk about um properties , materials , user-interface and trend-watching . 	
C	109.85	110.42	Etcetera . 	
D	111.92	112.28	Mm-hmm . 	
B	112.69	115.01	So I think we've touched on a few things 	
B	116.64	118.91	to do with that already , but we'll just go over it . 	
B	120.4	121.07	Um 	
B	122.98	143.36	the minutes from the last time . Um we had a couple of um changes in our plans in that we couldn't use teletext , it wasn't gonna be a control for everything um and that we had to incorporate the image of the company into it somehow . Um 	
B	144.72	165.39	we have decided on a leaving out the voice recognition , we've decided on there being a flip design and um a different shape from what's normal . We were thinking a shell , but something along those lines , just a different shape from what's normal , um . 	
B	168.97	172.1	You were going to look into the rechargeable batteries 	
C	172.32	172.65	Yeah . 	
B	173.31	192.848	and we were gonna think about the port and an alarm for getting it lost , things like that , um and our market was going to be young , business , kind of range . Okay , so shall we start with the first presentation ? Yes if you feel 	
A	175.44	176.237		
C	177.68	178.07	Yeah . 	
A	188.1	188.36	'Kay . 	
D	191.24	194.51	Shall I ? Okay . We just connect up . 	
A	191.78	192.17	Yep . 	
B	200.208	200.747		
D	201.1	201.44	Thank you . 	
D	217.91	228.53	There we go . Okay um so we decided on our market and so this feedback from the marketing department is really about trend watching . Um 	
D	229.365	232.39	the methods we used to decide on uh 	
D	234.6	269.305	current trends and so on , market trends , were that we did our traditional uh our usual market research study uh with a hundred subjects and the the general feedback from them is that the most im uh w I'm sorry I'm slightly tongue-tied after lunch , sorry Project Manager . Um we decided on the most important aspect i uh required in a remote control device and we'll come to that later . So that was one of the first things we did . Also with our company um being forerunners in uh putting fashion into technology , we also looked at a fashion update um using our consultants on fashion and design in Paris and Milan . 	
A	249.432	251.191		
C	249.455	250.768		
B	249.46	250.6	It's okay . 	
D	270.29	289.55	Uh so the general findings from that was uh in the market trends the most important aspect for remote controls were people want a fancy look and feel , rather than the the current functional look and feel of remote controls . They also also want a remote control to be technologically innovative , 	
D	290.9	306.4	and of course , as we predicted , that it should be easy to use . Now I should point out that the first of those findings , fancy look and feel , is the most important , is twice as important as the second , technologically innovative , which is in turn twice as important as being easy to use . 	
D	307.84	339.12	So possibly that the feature that we put first is actually third is still important , but it's third in order of preference for the the subject group we looked at . Okay , um , now the fashion update which relates to very personal preferences among our subject group , um we found from our um consultants in Paris and Milan who des attended all the design and fashion fairs there , that fruit and vegetables are going to be the theme for clothes , shoes and furniture . So should we be thinking of using something like that in our remote control design too ? 	
B	316.02	316.31	Yeah . 	
D	340.13	356.54	There also seems to be um a trend towards a spongy feel to materials , uh again in contrast to last year . So a lot of interesting feedback there , both from our market research departments and from our people in Paris and Milan . Be interesting to see what our design people make of that . 	
A	356.94	357.17	'Kay . 	
B	357.29	360.19	Okay thank you very much . Um 	
A	360.73	360.82	Yep . 	
B	361.49	363.91	let's start from the inside and work our way out . 	
A	363.56	364.99	Fine . It's okay with me . 	
C	364.29	366.301	Yeah , okay . 	
D	365.43	369.44	Unless anyone has any questions about that ? Not yet ? 'Kay . 	
B	367.55	369.49	I don't think so , not yet . 	
B	371.04	373.09	Um , yes , thank you . 	
C	380.97	383.584	That screwed in ? 	
D	381.15	381.79	Okay . 	
B	388.56	389.72	I hate those little things 	
C	389.94	390.29	Yeah . 	
B	390.96	395.96	especially if you do them on too tight and you can't get the leverage on them to undo them . 	
D	393.872	395.9	I know . 	
C	403.02	404.722	'Kay , 	
B	410.79	411.24	Okay . 	
C	410.83	425.072	Okay . Um this is uh all about the design of the actual components and the availability of the components we have in stock at the moment . Okay , first uh the 	
C	426.23	450.55	Into the method . The the main idea of the whole thing is just so you sh you just press buttons and it should activate things on the T_V_ and we discussed last meeting that it should be easy to find . Um also in this study I've looked into the availability of some of the materials , 'cause some of the things that we looked at last time aren't un unfortunately aren't available . 	
B	451.06	451.4	'Kay . 	
B	451.44	471.784	. 	
C	452.66	478.53	Um , findings , I've got my nice little picture there . This is uh the chip called the T_A_ double one eight three five which is what's used in pretty much every remote control 'cause it sends out standard signals , based on your input and um it's pretty much used for all all T_V_ remotes at the moment . Um and then we we're loo looking into battery options . 	
B	472.18	472.33	'Kay . 	
D	474.368	475.571		
C	479.86	507.024	There's um actually no rechargeable option available , so we I saw the um the standard double A_ and triple A_ which we thought were a bit bit too bulky at the moment , dynamo charging , I thought that that might be a bit silly to be to be honest , people won't it's it's basically like wind-up radio . So you wind up your remote control before you use it . It might 	
B	497.45	498.86	Wa can you explain that ? 	
B	500.12	502.6	Like a right , okay . 	
D	504.416	504.832		
B	504.94	512.977	How what kind of how l long can you get out of that , I mean can you pick it up and then wind it for two minutes and then that's it for the night ? Or 	
C	508.76	509.472	You 	
C	512.15	533.17	Yeah , yeah , oh yeah I presu you wouldn't have to wind it for very long , but I don't I don't think it's really sort of necessary when you th you think of the next two options , like the the solar charging , 'cause most people have the light on in the room anyway so they could get when when you got T_V_ . 	
B	531.46	532.94	That doesn't count though does it ? 	
D	532.32	535.71	Does does light charge as as sunlight does ? Artificial light ? 	
B	533.78	537.905	I thought it was U_V_ like 	
C	535.19	535.53	No . 	
C	536.91	539.1	Is it ? Alright i 	
D	539.17	539.99	Has to be solar . 	
B	539.61	540.864	Any , any 	
A	540.57	552.17	Yep . Regarding those sizes , which one you think will be light because we we have to take into consideration size also , so maybe a standard triple A_ might take lesser space or and dynamo might take more space . 	
C	551.03	557.25	Yeah it would the d yeah the dynamo would take more space 'cause you actually need a physical sort of handle to wind up . 	
B	557.01	559.69	I'm pretty sure that solar is from the sun . 	
C	559.77	560.85	Yeah , okay . 	
D	560.34	560.68	Mm . 	
B	560.54	573.0	Uh , I don't think it counts electric lights no , but I mean not many you don't want to limit your market . I mean people who live in basement flats there's not that many people , but there are people . 	
D	561.91	563.03	Artificial light , no . 	
D	565.27	566.244	That's going to 	
D	571.17	575.32	I know , different parts of the world too , if we're if we're marketing internationally . 	
A	571.57	571.976	Uh 	
C	571.73	572.048	But 	
C	575.14	580.39	Yeah and most people most people also watch T_V_ in the in the night anyway . 	
A	575.7	575.93	Right . 	
A	579.56	580.19	Night . 	
B	580.59	588.72	Mm , but then it would be charging through the day , I think the point is that it charges through the day and then you've got it charged for the evening . 	
C	587.25	608.06	But I I think I think the the next one's the best anyway . The the kinetic charging which is like you get it in r you get it in wrist watches and you d you don't even notice it . I mean the amount the amount of probably moving around you'd be doing all the time would would charge it up , I don't think you'd ever need to actually physically start shaking it up to make it work . 	
B	590.12	590.6	Okay . 	
B	595.4	596.325	Yeah I've seen 	
A	608.54	613.53	And are these like uh what are the life of the kinetic battery , it like it runs for long time ? 	
C	613.51	640.41	Um yeah it's it charges into um some form of it's a smaller cell which it charges into and uh the si the size sort of a watch a watch battery , 'cause they use them quite frequently in watches . And that'll that would l would last for um well I do I d I'm not entirely sure how long it would last but I've never seen one run out . 	
A	620.36	620.61	Mm-hmm . 	
A	627.88	628.27	Okay . 	
B	640.02	657.18	But then if you think about a watch , it's on your wrist so it's on your whole bod it's on your body the whole time so you're walking around , you're doing things , it is moving a lot of the time . If you'd I mean you switch the T_V_ on , then you put it on the side , then you pick it up to change it and then you put it on the side . Is it really gonna be enough ? 	
A	640.27	640.66	We c 	
C	645.11	645.51	Yeah . 	
C	649.9	651.408	Yeah and 	
D	652.96	653.23	Mm-hmm . 	
C	655.38	686.784	Yeah but then again I I think it is because if you think about it , the watch , although it's only a tiny amount it's it's um it's always moving for the whole day and they don't run out over night when you leave them on the side . And th for the same the same reason , you're only using it for a v incredibly short amount of time just to send the signal and then you're finished with it and you put it no no I do I don't think the the draw on it would be 	
B	672.45	672.94	Okay . 	
D	681.63	697.26	Hmm . Mm-hmm . Mm . Could I just ask referring back to solar charging , is that compatible with um standard batteries ? I mean , could people put standard batteries in but with a s you know they could leave it in the sunlight for solar charging or the two things not compatible ? 	
B	681.77	683.989	So it's not the draw on it isn't 	
B	684.92	685.39	Okay . 	
C	688.53	689.05	Mm . 	
C	695.82	714.99	Ye yeah I think I th uh g y you could have a dual um power thing but the the thing with the solar cells is you would need to put them on the case and they because , if you lie on a calculator they they're qui they're quite big and they all they all look i identical . 	
B	698.23	699.6	Like a dual kind of . 	
D	710.58	711.07	Mm . 	
D	714.49	716.48	So that affects the exterior design . 	
A	715.28	717.65	Solar would be slightly expensives . 	
