Found 4 args.
Observation: ES2014d; Result size: 772; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
A	0.02	3.07	So is Why not save that . 	
D	3.39	6.6	No , you'll ha have to open it up from elsewhere . 	
A	9.766	12.6	Do you want to replace existing file , no . 	
A	15.166	16.794		
A	18.73	21.888	I actually tried to transfer it to My Documents , but 	
D	21.83	25.68	Yeah , you have to you have to close that window . 'Cause that's the save one isn't it , so 	
D	27.19	27.92	And then find it . 	
A	33.378	34.85	spreadsheet . 	
D	43.672	44.153		
A	47.056	54.133	Yeah , but I've ta uh right , I'll just re-do it . That's the easiest way . 	
D	48.394	48.912		
A	64.654	66.763		
A	71.49	71.99	Right . 	
C	76.6	78.37	Well we've made our prototype anyway . 	
C	79.54	81.424	We can have a good look at that . 	
D	81.46	82.67	You pass it round to have a look . 	
C	82.18	85.584	Mm-hmm . Y no , it's a slightly curved around the sides . 	
D	84.684	86.29	Mm very nice . 	
C	86.68	103.61	Um , it's almost curved like up to the main display as well . And the little line at the bottom indicates the bit the panel that you pull down . And the extra function buttons are below that panel on the little line . And we've got the stick on the button with the company logo on . 	
D	91.79	92.08	Mm-hmm . 	
D	99.9	100.27	Mm-hmm . 	
D	103.93	104.23	Mm-hmm . 	
B	104.64	110.459	We also have a apple slash cherry design at the top . 	
D	107.986	111.15	So it is , yeah . Cherry would be alright actually . Yeah . 	
C	108.075	109.924		
C	111.4	117.73	Yeah , it's a bit more fun , isn't it ? And it's kinda not really at a kind of you think apple , you think computers , like Apple Mac . 	
B	117.11	119.411	Yeah , yeah , we might get a 	
D	118.31	123.0	Mm-hmm . Copyright , yeah . What's this this one ? What's that one there ? 	
C	120.68	124.26	Yeah , and cherries are fun , summery . Ah , that's the mute . 	
D	124.38	125.36	Oh , okay . Right . 	
B	124.82	126.691	For the M_ . 	
C	125.804	131.32	It it'd probably have to be labelled mute . But um , we didn't have anything small enough to write . 	
D	127.109	127.923		
D	129.29	129.55	Uh-huh . 	
B	129.54	130.501	They're thinking 	
D	131.81	132.37	Okay . 	
B	131.94	137.52	For the first time , well it was hard to get the h um the actual labelling on the individual buttons . 	
D	137.14	138.064	Mm-hmm . 	
C	137.75	138.05	Yeah . 	
D	139.1	139.655		
C	139.24	147.9	Uh , we just chose simple shapes for all them . Um , the important ones are the volume ones . So we made them a bit bigger . The mute could possibly be a bit smaller . 	
D	145.55	145.82	Mm-hmm . 	
B	147.9	158.4	Hum , you separate off in colour the volume related buttons from the channel related buttons , so you've got the volume in orange on design there , and the the channel is in blue . 	
C	154.788	156.045		
D	155.6	155.95	Yeah . 	
C	158.82	159.04	Mm-hmm . 	
A	159.46	177.51	R right . Um , all these things have cost implications . And so when I done my thing on cost a I had assumed that the only uh button that would be a different colour would be the uh the red apple button . 	
C	159.82	162.13	Yeah , and we chose a V_ plus and V_ minus . 	
A	179.09	198.34	So However , I've now . But um , yeah so uh but there would be a cost implication on that , and uh as I suppose that so whether wanted to put in all these colours , would be uh open to debate , I suppose . 	
C	181.748	184.485		
D	185.62	186.69	I'll see if I can find them . 	
B	195.13	196.32	Yeah , sis 	
C	197.6	207.472	Well the colours wouldn't like that's they wouldn't be too important , but we didn't have any white Play-Doh . So that's where the colour buttons came from . 	
D	197.69	198.066	Have 	
A	203.344	209.424	An important consideration . Right , okay so um 	
D	203.43	207.203		
A	210.928	215.2	And the second one underneath would be the idea for the 	
B	214.76	216.21	Yes , we'll have the slide-away . 	
A	216.59	221.72	Right , okay . So we've got um detail design meeting . 	
B	218.23	218.62	Bottom . 	
A	224.32	224.67	Right . 	
A	227.86	230.26	So So , we've got 	
A	231.808	284.4	prototype presentation , which we've just done , evaluation criteria , um and finance , so I guess w we have to evaluate if that meets the various uh aspects that we're looking for uh from um our previous meeting . So other than the fact that it doesn't have the second layer , but um obviously obviously it would . But other than that , we got the red apple . We got the buttons and the only thing that has really changed is the is the colouration of the buttons , and the bit after the evaluation criteria is uh is the finance . And the and the cost implication . The only snag about this is that uh 	
D	249.26	249.55	Mm-hmm . 	
C	250.736	251.365		
D	252.96	253.31	Mm-hmm . 	
B	255.91	256.18	Mm-hmm . 	
C	260.465	261.02		
B	270.64	271.42	Yes , yes . 	
D	279.42	279.9	Right . 	
B	279.48	279.91	Okay . 	
A	286.416	299.49	the cost is probably kind of important . So um , and then the production evaluation , as to how easy that would be to uh to manufacture . Um , 	
B	297.49	297.77	Mm-hmm . 	
D	298.477	298.921		
A	301.18	303.712	and whether it would uh 	
D	303.883	308.51	So if you had to do a presentation or will you just work it on the prototype ? 	
C	308.76	310.906	Uh , that's it . 	
B	308.77	312.13	This this is a yes , this is our presentation of the prototype . 	
D	310.11	310.94	That's the pr 	
D	312.93	313.37	Okay . 	
A	313.04	330.56	Right , so uh as far as the the finance of it would be concern would be to make sure that the cost aye the production cost 'cause you may remember that was one of the first uh considerations was to be in d under um uh twelve fifty or two and a half uh twelve and a half Euros . 	
B	327.83	328.13	Mm-hmm . 	
A	333.06	345.05	So , there's no redesign . So that should uh Right , so , seems to me that the thing that I have to do is 	
A	351.06	354.32	is quickly find that uh 	
B	358.06	361.44	Could we get this on the board just so we can see or do you mean do you have the figures there ? 	
D	363.296	367.85	we should plug it in . Do you wanna plu do you wanna plug it in into the the back of that one . 	
A	364.22	364.56	Right . 	
A	366.68	367.8	Okay . 	
B	367.62	368.29	'Kay , Alice . 	
B	369.68	370.52	So , sh 	
D	370.08	373.27	We could do it as we d go along , the production costs , looking at the prototype . 	
A	374.18	376.05	Right . . 	
B	377.08	378.01	'Kay this should be then . 	
A	378.489	379.414		
A	380.74	392.61	Okay , so , by the fact that we've got uh the simple chip and the uh kinetic energy source , we've got a single curved 	
A	395.28	408.816	case . We've got a rubber uh case materials supplements . So , we had decided that we're having rubber buttons and 	
B	405.11	405.31	Mm-hmm . 	
B	406.897	409.005		
B	411.8	413.42	Have a push button interface . 	
A	417.65	439.136	Okay . W the button supplements . Well , originally , I thought there would just be uh one in there because it was the one red apple . But So the so the real w the real question then would come in . Do you make all the buttons 	
B	420.24	421.521	Um 	
B	429.86	430.551	Um 	
D	439.91	443.78	Well do we'll do it on the prototype , so do two , see how much it is . 	
A	440.55	440.85	O 	
A	443.59	462.64	Well , so we've got one special button form , which was the apple . Everything else is gonna be a standard . We've got special material , rubber , wood , titanium , et cetera and that , so , I was originally , I was thinking rubber wasn't special , but according to this , maybe it is . So 	
D	448.13	448.57	Yeah . 	
B	448.46	448.78	Yeah . 	
B	450.31	451.253	And then we'd have 	
D	454.28	454.53	Mm-hmm . 	
D	460.48	460.72	Mm-hmm . 	
A	464.01	469.08	And the r I mean effectively we've got sixteen buttons that we're gonna have on there . 	
D	469.29	472.369	Yeah . I think you just do one , don't you , for the 	
A	472.72	491.632	W I don't know is is is the sort of answer , is that meant to be all sixteen buttons , and therefore I mean , what's the op The option was maybe not to have rubber buttons , but just to have the one that was soft and spongy , and therefore 	
D	490.91	493.174	I think I think it's just it's just a one . Else 	
A	494.22	503.68	Whereas it would be the special colour would be for the So you would only have the one special button that was rubber , whereas the rest would be hard plastic . 	
D	504.52	512.05	I thi I think I think the button supplement i is just a supplement for all the buttons made in a different material , rather than per button . 	
A	504.804	505.171		
A	511.59	528.56	Mm . I would Every design change is uh I dunno , um Okay , um , 	
D	513.63	514.25	I don't know though . 	
D	521.2	521.52	Hmm . 	
