Found 4 args.
Observation: ES2014b; Result size: 501; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
A	57.32	59.0	Right uh . 	
A	62.7	64.35	So um . 	
A	69.88	73.71	So where's the PowerPoint presentation ? 	
A	76.68	78.22	Sorry ? 	
A	81.37	83.22	Microsoft PowerPoint , right . 	
A	88.79	92.28	Right , okay . So . 	
A	97.74	98.16	Right . 	
A	101.49	103.51	Okay , so we've got uh 	
A	108.64	112.16	so we've got new project requirements . Um . 	
A	116.2	125.4	So basically we've got three things , and we've got forty minutes in which to uh for this meeting to uh to discuss the various options . Um . 	
A	127.29	128.73	Three presentations . 	
B	130.86	134.41	We have a I guess we have a presentation each , 'cause I've got one . Um . 	
C	134.08	134.22	Yeah . 	
D	134.2	135.54	Yeah , I've got one too . 	
A	134.79	145.872	I see , right . That's nice to know , one from each of you . Um new project requirements . Um so do we want to do the presentation first , or do we want to um 	
A	147.4	190.94	W I I got um or or three things basically , um relating to the remote being only for T_V_ . We discussed that last time and in actual fact that was pr pretty well what we came up with anyway . So in fact it actually f we won't be forestalled in a sense . Um we've got uh teletext outdated . Um did you get any information on that ? Right and the corporate image was the uh final thing . So I I got that in email form . Um . Right okay . So 	
B	158.58	159.05	Mm-hmm . 	
D	159.55	159.89	Mm-hmm . 	
D	164.08	164.55	Mm-hmm . 	
C	167.84	168.144		
B	168.736	169.749		
B	175.54	176.59	Uh we didn't , no . 	
C	176.65	176.94	No . 	
B	177.84	179.05	I d I didn't personally . 	
D	179.07	179.45	Hmm . 	
C	183.44	183.776		
A	192.39	204.384	I guess if we go ahead with the uh with the three presentations . So we'll start with yourself on the basis that uh 	
B	200.99	201.79	Okay that's fine . 	
B	204.33	208.41	I'll just um I'll grab the wire out the back of this one . 	
A	208.54	209.34	Sorry , yep . 	
B	222.318	225.334		
C	232.832	233.216		
A	236.86	238.56	Oh . 	
C	237.61	238.11	What is it ? 	
B	240.82	242.388	I'm not quite sure how it 	
C	241.28	243.35	I think you've got to do um control F_ eight . 	
B	243.9	245.952	Control 	
B	251.03	252.79	Doesn't seem to be quite working at the moment . 	
C	252.55	255.136	Shift F_ eight . 	
B	256.5	257.49	Alt function F_ eight . 	
B	260.512	262.59	Again not doing anything . 	
D	262.944	267.05	There's usually a little thing in the top right for the Oh hang on , it's just coming on . 	
B	265.75	265.87	Oh . 	
C	265.77	267.27	Ah there , it's doing something . 	
B	267.136	270.25	pressed about five times now . 	
C	270.416	270.896		
D	273.584	274.16		
B	278.17	279.61	Okay , that's me . 	
B	305.87	307.97	Okay , um I have to go again . 	
A	315.293	316.62	it going ? 	
B	319.52	320.67	Hopefully that should be it this time . 	
B	329.11	330.54	Okay , I think we're there . That's good . 	
B	332.07	333.456	Okay , um 	
B	339.08	359.7	Okay I'm gonna be looking at the working design . Um of the of the remote control . Um I've just got three sections , first is the research I made on the on the remote control itself um . And then that involves the components required in it and the systems uh design of the actual the actual remote . 	
B	361.16	390.61	Um so having researched the existing models within the market , um I found my research off the internet . Um I've established what the components required for the remote control to function , actually are . And then also the methods in which these components interact together for the remote to actually do what you want it to do and how it connects with the television . Um the basic components are an energy source which I guess um in most existing models would be a battery supply . 	
B	391.17	416.72	Whether that'll be sort of two batteries , four batteries , um it may vary . We then have the user interface , which is basically the like the the buttons on the actual remote . Um the various functions used for changing channel , uh channel up and down , volume , things like that . Um there's also a chip inside the remote which does all the computer type things . And then the sender , which um 	
A	396.51	396.71	Okay . 	
