Found 4 args.
Observation: TS3003d; Result size: 771; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
A	11.79	12.476	So 	
A	20.7	22.656	Hello . 	
D	22.96	28.91	Good afternoon . Sorry I'm a little late . Got stuck in the traffic . 	
A	26.98	27.56	No problem . 	
C	28.944	30.048		
B	28.963	31.245		
A	29.17	44.5	Okay . That's possible on uh this time of day . Starts at three o'clock . Uh Uh , let me see . Our fourth and last meeting . 	
D	37.42	37.78	Yeah . 	
A	47.74	48.7	There he is . 	
A	51.99	52.65	Yes . 	
A	55.7	80.779	Okay this our last meeting . In this meeting we will discuss our final design . And we will do some evaluation about the , not only the product , but also the project . And then we're going to close the project today as well . So after this you will be uh free to go and uh spend all your money . 	
B	78.268	79.682		
D	78.282	78.841		
C	78.4	79.209		
D	80.181	80.893		
A	80.95	100.53	And this uh design , detailed design meeting uh we will discuss uh the look-and-feel of the design , the usability interface design , and we will do the product evaluation . Um , in order to do that we have this agenda . 	
A	101.36	128.98	We'll have the prototype presentation first . Then we will set up some evaluation cri um criteria . Then we will look at the finance . Uh we will have to see if everything we wanna do is also possible within our budget . Because everything costs money , and the more functions you wanna have the more money it will cost . So we have to see if it fits within the twelve and a half Euro per remote . 	
A	129.42	144.58	But we will see that later . Then we will do the project uh evaluation , and the closing after that . We've got forty minutes . So we will be finished at half past three . But first um 	
C	133.456	135.584		
A	145.8	155.36	we will do the this is prototype presentation . So , if some yeah if somebody wants step forward . 	
C	153.33	153.97	Okay . 	
C	157.91	171.43	Well this is what me and Richard came up with . The default spot for the on-off button . The mute button just below that . Then there's the volume and channel selectors . 	
C	172.79	184.59	Simple plus-minus button . Uh we thought of a help button . If you hold it and you press another button , uh the help goes to the L_C_D_ screen . 	
C	185.33	195.47	Then there's the zero to one to zero buttons . A button for teletext . A button for the subtitles . And the company logo . 	
C	196.65	205.09	So it's rather simple prototype . And uh we'll have to see from testing uh how the users take it . 	
A	206.27	206.74	Okay . 	
D	207.34	213.37	Um , is this the moment where we ask or can ask questions about the functionality ? 	
B	210.86	211.385	So 	
C	213.75	216.03	Sure uh just pop in at any time . 	
B	213.99	214.56	Yeah . Yeah . 	
D	216.29	225.26	Um , when you're in teletext there usually are buttons where you just you just press it and you g go to the next teletext page . 	
B	226.94	235.2	Uh , that's just uh the normal uh as th as the normal uh remote controls uh So um 	
B	236.26	252.51	You put it uh you um came in uh page uh one hundred . Now you can use the normal uh one to zero buttons . And you But you can also uh use the um button th for uh changing the the channel . 	
D	240.92	241.32	Mm-hmm . 	
B	252.6	261.68	S so uh the shifting uh button . Uh for uh yeah shif shifting up in uh on t on t uh teletext , and shifting uh down . So 	
D	255.36	255.67	Okay . 	
D	262.33	265.369	Okay . Um 	
D	267.26	267.54	Yeah . 	
A	269.19	289.15	Okay . Uh but um I thought in a few meetings earlier we uh uh tried to keep it uh simple . Uh just a few buttons and large buttons . But uh I think these are altogether quite a quite a few buttons . 	
B	280.2	280.81	Oh yeah ? 	
A	291.07	295.59	So I'm wondering if we if we neely really need all of those buttons . 	
B	292.48	293.027		
C	297.38	298.57	I think if you look at 	
B	297.799	298.247		
C	300.0	313.05	most controls , they've got more buttons than this . And well the on-off button , it's it's a necessity . You can't drop that one . The volume and channel buttons , you need you obviously need those those . 	
A	302.83	303.38	That's right . 	
B	303.27	303.53	Yeah . 	
B	306.53	306.69	Yeah . 	
A	306.6	306.96	Yeah . 	
