Found 4 args.
Observation: ES2004a; Result size: 283; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
B	0.0	1.575		
A	0.37	1.76	Hmm hmm hmm . 	
B	10.99	14.53	Are we we're not allowed to dim the lights so people can see that a bit better ? 	
A	17.88	18.15	Yeah . 	
B	18.87	20.29	Okay , that's fine . 	
B	22.37	23.81	Am I supposed to be standing up there ? 	
D	25.15	26.83	So we've got both of these clipped on ? 	
B	25.18	25.6	Okay . 	
D	29.12	30.48	She gonna answer me or not ? 	
B	29.86	32.297	Yeah , I've got 	
D	31.3	33.39	Right , both of them , okay . 	
B	34.26	34.72	Yes . 	
D	42.63	43.29	God . 	
B	44.48	47.136		
D	49.75	53.18	Jesus , it's gonna fall off . 	
A	63.81	66.416	Okay . Yep , yep . 	
A	71.95	72.06	Okay . 	
B	80.49	94.743	Okay . Hello everybody . Um I'm Sarah , the Project Manager and this is our first meeting , surprisingly enough . Okay , this is our agenda , um 	
A	80.5	81.66	Tu tu tu tu 	
A	83.22	84.03	Hi , good morning . 	
B	95.68	115.89	we will do some stuff , get to know each other a bit better to feel more comfortable with each other . Um then we'll go do tool training , talk about the project plan , discuss our own ideas and everything um and we've got twenty five minutes to do that , as far as I can understand . 	
B	117.62	160.95	Now , we're developing a remote control which you probably already know . Um , we want it to be original , something that's uh people haven't thought of , that's not out in the shops , um , trendy , appealing to a wide market , but you know , not a hunk of metal , and user-friendly , grannies to kids , maybe even pooches should be able to use it . Okay , um , first is the functional design , um this is where we all go off and do our individual work , um what needs need to be fulfilled by the product , um what effects the product has to have and how it's actually going to do that . Um , conceptual design , 	
B	162.31	167.8	what we're thinking , how it's gonna go and then the detailed design , how we're actually gonna put it into practice and make it work . 	
A	168.79	168.88	'Kay . 	
B	170.38	186.128	Okay , right . We're gonna practice with the pens and draw our favourite animal on the white board , I'll go first , and um sum up the characteristics of that animal . So 	
A	180.246	181.722		
D	180.288	180.8		
A	188.28	188.43	Oops . 	
B	188.83	192.976	Okay , I'll leave space for everyone else . Um 	
B	211.46	211.97	What's missing ? 	
B	243.22	244.33	We're running out of blue . 	
B	246.93	250.6	Okay . I'm not gonna ask you to guess , I'm going to tell you that's supposed to be a tiger . 	
A	252.48	252.56	Mm . 	
B	254.53	257.24	And I see them as majestic , 	
A	255.91	256.25	Oh sorry . 	
A	258.31	258.64	Mm-hmm . 	
B	259.89	262.25	and independent , 	
B	266.18	266.97	and 	
B	268.71	269.06	proud . 	
B	272.31	275.8	Now , who would like to go next ? 'Kay . 	
A	275.09	275.45	Yeah , me . 	
D	275.76	276.624		
A	277.312	279.75	Cat . 	
A	285.15	286.61	Where did this come from ? 	
B	287.57	290.1	Is that your lapel then ? There you go . 	
A	289.09	296.02	Uh , yep . Thank you . Uh , maybe you can guess what I'm trying to make ? 	
D	306.38	307.2	A kind of dog ? 	
B	307.225	308.062		
A	309.22	310.08	Yep . 	
A	313.47	321.86	It's actually sitting , so it's sitting , it's not standing . Okay , I see it as one thing it's very supportive . 	
C	315.696	317.4	It's sitting down . 	
D	315.85	316.3	Sorry ? 	
D	317.9	318.62	Uh . 	
A	324.13	351.47	It's your best friend and your you can talk to a dog , it can be your best friend , it doesn't discriminate between you , based on what you are . Second it's loyal and third thing it's got intuition . dogs can som sometimes can make out between a thief and a person so basically these are the three unique features I think belong to a dog . Thank you . 	
D	344.91	345.36	Mm-hmm . 	
B	350.01	351.09	Okay , thank you . 	
