Found 4 args.
Observation: IS1009c; Result size: 333; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
A	40.24	40.69	Okay . 	
A	42.16	43.363	Hello everyone . 	
C	43.25	43.42	Hi . 	
A	43.363	44.768		
D	43.37	43.8	Hi . 	
B	43.77	44.09	Hi . 	
A	44.79	47.18	Um how uh how we doing ? 	
C	48.29	48.77	Yeah , good . 	
A	49.27	68.7	Uh first we going uh over the minutes of the last meeting , more or less . Um in the last meeting uh the marketing manager had presented uh her method of working , meaning gathering i suggestions 	
B	55.6	55.97	Mm-hmm . 	
A	69.97	79.04	from everyone to see how she best could market uh this this product at the within the budget uh that was given . 	
A	81.38	88.2	Uh in general the idea is that it should be something that is not difficult to use . 	
A	89.75	100.97	Um it's also an item that people lose a lot . So we should address that . And , of course , it should be something 	
A	101.96	104.16	s s that is very simple to use . 	
D	105.136	105.456		
A	105.56	116.76	In addition to that to make it sell , of course , uh the marketing manager w wishes that it be very attractive , or like she says put some sizzle into it in one way or another 	
A	117.77	130.04	so that the people are buying it now because , in particular with smaller items , that's a very important fact , 'cause um if they say , well , I go home and think about it , that won't work . 	
A	130.79	137.5	Um also mentioned was it should be uh it should have a very short learning curve . 	
A	138.68	143.15	And maybe it could be sold by using a slogan . 	
C	144.08	144.21	Hmm . 	
A	144.863	151.56	Our technical manager has then said that she feels it should have a chip 	
D	151.776	152.352		
A	153.03	160.34	that has infra-red bits and it has an interface controls w interface that controls the chip . 	
A	161.42	172.65	Therefore , messages uh will be controlled in the same manner . There should be extra features like lid buttons , maybe a beep . If too many buttons are pressed , 	
A	173.85	183.872	mm uh uh child lock um and uh maybe a display clock so that people could um 	
A	184.93	191.44	you could see the time , you know , what show they want to watch . Also mentioned was uh maybe different shapes . 	
A	193.38	203.55	So the components of the thing should be button , bulbs , infra infra-red bulbs , battery , chips , wires , and maybe some kind of a holder 	
A	204.68	208.54	uh for the for the uh item . 	
A	210.26	228.56	Francino who is our um interface designer um uh has mentioned that the that it , of course , should have an on-off button , and also has mentioned an interesting feature that it should have maybe a channel lock . 	
B	213.74	214.88	Interface designer . 	
A	230.09	247.94	Particularly with maybe small children that they couldn't uh watch a channel that is undesirable . It should be compact . Her personal favourite was it should be T-shaped . And maybe have an anar alarm-clock . And the material should possibly be not of non-allergic nature . 	
A	250.22	256.99	Uh the different systems uh that exist are infra-red or radio-waves . 	
A	258.04	264.8	Uh maybe it should have uh electri electrici electricity saving feature . 	
D	263.872	265.846		
A	265.83	277.22	And even possibly a timer to so that people can program their favourite uh uh program on th right from the remote . 	
B	277.31	277.82	Yes . 	
A	279.09	285.08	Uh are we all in agreement that that's about what we discussed last time ? Okay . 	
C	284.08	284.29	Yeah . 	
B	284.27	284.56	Yes . 	
D	284.68	286.62	Yeah , I think that pretty much is it . Yeah . Mm-hmm . 	
A	286.592	299.75	Okay , then we I'm looking for three presentations . And uh I don't know whether the order matters much uh , I don't I don't think so , so whoever w wants Yeah , okay . 	
B	297.33	299.26	Okay , I can start first . 	
B	299.97	300.43	Okay . 	
B	305.45	307.008	Now my slide , please . 	
A	306.1	309.21	Okay , your slides . Okay . 	
A	314.19	315.53	Oh , come on , close already . 	
D	316.768	317.12		
A	321.45	323.61	And that's number two , right ? 	
B	323.83	324.1	Three . 	
A	324.58	324.83	Three . 	
B	325.8	326.67	Participant three . 	
B	328.02	328.41	Yes . 	
B	335.7	336.0	Okay . 	
A	337.53	337.75	Okay . 	
B	337.56	347.11	Now as an interface designer , I would give more emphasis on the interface , how the remote looks like so that it is sellable , it is attractive to customers . 	
B	349.04	350.03	Next , please . 	
B	351.32	371.25	Okay . Now the function of a remote is to send messages to the television . This messages could be uh switch on-off message or switch to next channel message or swapping the channels or switching onto a particular channel , like you can have the numbers one , two , three , four , up to nine . 	
A	373.38	376.33	Nine what ? Nine channel uh switches ? 	
B	377.33	377.69	Pardon me ? 	
A	377.96	381.29	Nine channel switches ? Is Yeah . Mm-hmm . Mm-hmm . 	
B	379.14	380.91	Yes , nine numbers . 	
B	382.97	393.13	And then you have swapping of uh button by which using which you can swap the channels if you don't want to see the third channel you can swap it to the fourth channel or vice versa . 	
A	386.19	386.65	Mm-hmm . 	
B	395.8	407.93	Then it should have a next button , and next button channel by which you can keep on uh v uh mm eh scrolling the channels one by one . Next slide , please . 	
C	402.87	404.07	Going to the nex next . 	
A	402.95	403.4	Mm-hmm . 	
A	405.29	405.61	Mm-hmm . 	
A	408.02	408.35	Mm-hmm . 	
B	410.4	415.93	Then you should have a button which should which ca which can be used for increasing or decreasing the volume . 	
A	416.14	416.57	Mm-hmm . 	
B	418.1	439.69	Then , there should be a button which can give subtitles for a particular program which is going on a television . For example , if you are watching a French program and you would like to have a subtitles in English , then there should be a channel which can trigger this mechanism in the television so that the user can see uh the the subtitles on the screen . 	
D	430.132	430.448		
A	430.74	431.07	Mm-hmm . 	
B	441.93	453.03	Then there should d uh there should be some buttons which can control features like the colour , colour of the picture , the contrast , sharpness , brightness of the picture . 	
B	456.77	458.73	Now there should be a memory switch . 	
B	462.72	488.84	There should be a mute button . Suddenly if if if uh uh viewer he gets a telephone call , and if he want he doesn't want to switch off the uh T_V_ , but he he can reduce the sound , he can bring the volume down and he can watch he can uh while talking he can watch the T_V_ . Now the most important feature I would like to have in my remote would be the speech recognition feature . 	
B	490.45	495.72	It's an integrated progra programmable sample sensor speaker unit . 	
B	498.52	507.09	So a remote can be th can be uh designed which can have the voice recognisers , you can record your own voice 	
A	509.48	509.95	Mm-hmm . 	
B	510.39	539.31	which can be recognised by as voice recogniser in the television , for example , if you want to see we if you want to see the ninth channel if you say just say ninth channel , uh th now the the uh yeah , the remote will automatically it will switch to the ninth channel . So the T_V_ will have some recogniser which will recognise the user's voice and accordingly it will change its functionalities . So this is one of the very important feature a remote control can have . 	
D	514.528	514.8		
A	524.19	524.51	Mm-hmm . 	
A	527.63	527.98	Mm-hmm . 	
A	535.0	536.0	Mm-hmm . Mm-hmm . 	
B	541.18	545.27	So this is one one of the interface which can be created . 	
A	546.82	547.18	Mm-hmm . 	
B	547.2	552.29	A very simple interface which has all the t uh uh important features . 	
B	553.37	554.43	Then , please , next slide . 	
A	553.84	554.77	Mm-hmm . Mm-hmm . 	
B	555.73	578.1	Then , these are some of the remotes which are different in shape and colour , but they have many buttons . So uh sometimes the user finds it very difficult to recognise which button is for what function and all that . So you can you can design an interface which is very simple , and which is user-friendly . Even a kid can use that . So can you go on t t uh to the next slide . 	
A	562.14	562.64	Mm-hmm . 	
A	575.77	576.11	Mm-hmm . 	
B	579.0	592.82	Yeah , so this is one of the interface or one of the remote which has this vi voice recogniser . And this has multi-purpose use , it can be used for T_V_ , it can be used for cable-satellite , it can be used for V_C_R_ , D_V_D_s and audio . 	
D	584.512	584.8		
A	584.88	585.29	Mm-hmm . 	
B	595.19	597.66	And this has in-built voice recogniser . 	
A	598.603	599.226		
B	601.65	620.22	Can you go on to the next slide ? Yeah , now this is an interface for a chil uh for a remote uh uh which a child can use . Uh this is user-friendly , it's very attractive and uh children can use it as well as they can play with it . And this comes with different colours , different shapes . 	
A	609.9	610.25	Mm-hmm . 	
C	620.84	620.95	Mm . 	
A	626.71	626.97	Mm-hmm . 	
B	626.93	637.23	And this this uh child uh interface has minimum buttons and all the important uh buttons are there in this small , compact , 	
D	630.851	631.12		
B	638.15	640.76	attractive child interface . 	
B	646.56	658.096	Next slide , please . Now this is a big over-sized remote which cannot be misplaced or it's impossible to misplace . this . 	
A	649.328	651.424		
C	653.76	660.512		
D	654.384	655.312		
A	655.008	655.232		
D	656.32	663.12	You don't know me . I could lose that in a minute . 	
B	658.096	659.286		
A	659.872	661.625		
B	661.14	672.576	So this is No this is a very big , you cannot misplace it anywhere . So this is a jumbo universal remote control and it's impossible to im misplace or lose . 	
D	663.12	667.387		
D	667.387	668.017		
A	672.77	673.22	Mm-hmm . 	
B	673.89	676.848	This i this is one such interface which can be created . 	
B	678.37	689.86	And the personal preference uh would be a spe uh uh to incorporate speech recognisers uh which will respond to user's voice for a particular uh function . 	
D	679.664	679.936		
A	688.49	688.84	Mm-hmm . 	
A	690.57	690.76	Right . 	
B	691.97	692.947	Thank you , that's 	
A	693.53	693.98	Mm-hmm . 	
A	711.48	716.81	Okay , thank you very much . Uh any comments on uh her presentation ? 	
D	720.37	750.47	Well , um looks like we still have quite a choice of things out there . Um what uh I'm No suggestion's bad . But uh we're gonna have to narrow it down a little more . I don't think that we can get uh The T-shape is good , the child one is good , the too big to misplace , I think it's just funny . Um I don't think that's gonna be our impulse purchase at the checkout counter . It's it's gonna be a little bit too unwieldy . 	
C	724.39	724.67	Mm-hmm . 	
B	728.73	728.96	Mm yes . 	
B	740.4	742.752	Okay . 	
C	740.656	742.32		
A	742.29	744.116	Yeah , I I th I think 	
B	747.79	748.745	Okay . 	
B	748.745	749.301		
A	749.36	763.2	No , I think the these are her presentations , but uh as far as the decision making we getting to that after after but if I just wanted to know whether anybody had any any anything to add to her presentation . 	
D	751.59	752.31	Yeah mm . Mm-hmm . 	
D	754.76	756.62	Have to come back to that later . Okay . 	
B	755.64	755.93	We can . 	
D	762.54	766.69	No , I think her presentation was good , and she really explored all the options . Yeah . 	
A	764.18	764.42	Mm right . 	
A	766.47	769.47	Mm-hmm . Ho who wants to go next um ? 	
C	770.14	770.7	Yeah , maybe . 	
A	770.63	772.267	Mm-hmm . Okay , and you 	
C	772.09	772.82	Participant two . 	
D	775.2	775.552		
A	777.11	777.78	Uh okay . 	
C	778.3	781.22	Uh the next one , sorry . It's it was the old one . 	
A	779.59	780.01	Oops . 	
C	787.59	788.21	Components . 	
A	787.6	789.96	The components design . Mm-hmm . Okay . 	
C	796.98	809.45	Um this time I'm I'm going to um concentrate more on the components and the technical side of the remote controller design . Uh , can you go on to the next slide , please . 	
D	803.33	803.94	Mm-hmm . 	
A	808.35	808.54	Mm-hmm . 	
