Found 4 args.
Observation: IS1009d; Result size: 537; atts: 4
$s@who	$s@starttime	$s@endtime	$s	
A	39.38	41.33	Well hi everyone again . 	
B	41.27	41.56	Hello . 	
C	41.31	41.55	Hello . 	
D	41.82	42.25	Hello 	
A	43.24	54.4	Um like before we uh I have to redo the meetings from n th the minutes from the last meeting and so here we go . 	
D	50.89	51.34	Mm-hmm . 	
A	55.91	64.64	Uh it was discussed in the last meeting uh which was opened by the presentation from the interface um 	
B	65.64	67.056	Designer . 	
A	65.67	89.79	designer that uh looks would be very important on this new remote and um it is to send messages of course to the T_V_ . It should have nine channel buttons , a next button , volume buttons , subtitle buttons , switch to control features , colour contrast , sharpness etcetera . 	
D	67.296	67.712		
A	90.2	107.8	It should have a memory switch , a mute button in case the telephone rings or something . Uh speech recognition is one of her very f favourite personal uh features she would like see d d to be integrated in this um in this new remote . Um . 	
A	110.916	129.26	Should be child friendly design with few buttons , colourful maybe with s star shaped or other shaped buttons . Um she uh presented also an oversized remote which she guarantees nobody will ever be able to lose . 	
B	129.216	129.856		
A	130.37	130.96	Um 	
D	130.37	135.223	And she was challenged on that point 	
C	132.166	135.248		
A	132.176	133.792	that's right . 	
B	132.277	134.683	Yes . 	
A	134.85	164.38	But uh her very f personal favourite really she , she would very much like to see a speech recogniser integrated in this remote . The industrial designer um presented her uh thoughts on the issue . She would like a special case made out of plastic that is very strong , not using any harmful materials , should be recyclable and should be colourful . 	
A	165.64	171.16	Should have an integrated circuit board that's highly sophisticated and temperature resistant . 	
A	172.84	191.44	She would like to see a timer and or alarm facility integrated . Uh technically this thing would also have a resistor and a capacitor , diode transistor , resonator , and if possible a rechargeable battery . 	
A	192.63	194.71	Uh and of course a circuit board . 	
A	195.99	220.01	And how it would works , you press the button , the chip is morse morse code related relays the uh to the generat to the generator amplification and uh the circuit board is very inexpensive to build and so she thinks this is a great feature uh to to to consider . 	
D	215.46	215.73	Okay . 	
A	222.16	226.96	She would like uh this whole thing should be push buttons with a simple chip 	
A	228.04	232.64	uh scrolling method is more expensive and not that practical anymore . 	
A	233.84	238.91	Should be battery operated and of course she would have the special cases . 	
A	240.4	262.73	The marketing expert uh who has to finally come up with to to to market this product has been watching the competition , has done some research on the internet and also has used h her personal observations to come up with the fact that such a remote sh should be small , 	
A	264.31	266.54	easy to use and it should be eye catching . 	
A	270.36	277.46	From her point of view of course one of the most important facts is that we should get to market before our competition does . 	
A	280.59	290.57	To do that uh maybe one or two features should be developed on which we could dwell on or in other words on which our campaign could be built on . 	
A	292.13	301.49	Too many new features or too many points would only confuse matter . So we prefer to have one or two features that can be really uh driven home . 	
A	302.88	311.26	Um it should have a fruit and vegetable design and should have a soft feel . She feels that's really what people want today . 	
A	312.93	320.97	And the decision that we took last time was that uh the special feature we would like to see is a speech recogniser , 	
A	322.18	331.89	the energy should be battery uh should be on a chip , should be trendy design , compact and strong , and should have buttons . 	
A	333.25	337.98	And that concludes the presentation from the last minutes from the last meeting . 	
A	340.72	345.35	Now uh we are ready for the presentation of the prototype . 	
C	347.27	347.44	Yeah . 	
B	347.73	351.12	Yeah . Just the look like , the button part I'll explain . 	
C	351.32	351.57	Yeah . 	
C	356.25	391.28	Uh so this is our what uh we have made . This is a model of the remote control which we are going to build . Uh this is us in a snail shape so uh it it is attractive um and it's it's blue in colour uh bright and uh it has yellow buttons and all the different colour buttons so it is a uh uh a looks-wise it is beautiful . Uh and also compact in shape . Uh um and also i it it will be easily fit into into the hands and you can access all the buttons easily . 	
A	363.39	363.7	Mm-hmm . 	
D	366.74	367.11	Mm-hmm . 	
D	372.4	372.79	Mm-hmm . 	
D	377.8	378.07	Mm-hmm . 	
D	381.16	381.43	Mm-hmm . 	
D	383.89	384.22	Mm-hmm . 	
D	388.95	389.28	Mm-hmm . 	
D	391.48	392.98	Mm-hmm . Good . 	
C	393.0	396.896	Yeah , oops , sorry . 	
A	394.368	396.112		
D	395.024	400.24	You used to have all the buttons 	
B	398.166	399.728		
C	398.288	413.013	Um yeah and um uh the material which we are going to use for the case is uh plastic and uh w which which is s strong um uh and also uh for the 	
C	414.45	429.99	Um the material is plastic and uh for the buttons it is uh s soft rubber um and als yeah . Yeah because uh uh you'll be touching the buttons more so it is soft when you touch it . 	
D	422.28	424.51	Oh that's good , no , that's nice and friendly . 	
D	426.89	427.68	Mm-hmm . Mm . 	
A	429.22	430.23	Mm-hmm , mm-hmm . 	
D	429.5	429.92	Mm-hmm . 	
C	430.39	442.39	And then um uh for the for the led , for the light emitting diode it is a fluorescent green and it's a a it is a bulb like an ordinary infrared . 	
D	434.93	435.27	Mm-hmm . 	
D	436.74	437.16	Mm-hmm . 	
C	444.13	448.78	And and the button button's part uh will be explained by F Francina . 	
B	448.91	469.58	Okay . Now the um we decided upon including certain features on our remote . Now these features includes the s um signal emitting uh signal it's the led or L_E_D_ the infrared . Now uh we have included the switch on and off button . 	
D	449.1	449.52	Okay . 	
D	462.89	463.97	Yeah , okay , mm-hmm . 	
A	463.31	464.36	Mm-hmm , mm-hmm . 	
D	470.22	471.22	Mm-hmm . 	
B	473.12	477.03	Now we have included another feature that is the mute button 	
D	479.57	480.36	Mm-hmm . 	
B	481.12	487.67	on the side of the model . Then we have included one to nine buttons 	
D	483.18	483.51	Mm-hmm . 	
B	488.9	491.9	for controlling the programmes the different channels . 	
D	494.39	495.9	Mm-hmm . 	
B	497.51	502.64	We have also included two buttons for increasing or decreasing the volume . 	
D	506.23	506.93	Mm-hmm . 	
B	507.38	512.94	And we have also included two buttons for scrolling up and scrolling down the programme channels . 	
D	516.52	516.76	Mm . 	
B	516.9	521.36	Now our our model also contains a button which is called as the menu button . 	
A	521.78	522.53	What kind of button ? 	
B	522.59	523.37	Menu button . 	
A	523.68	526.0	Menu ? Uh menu th menu , uh one one . 	
B	524.16	525.024	Yes , menu 	
D	524.41	525.555	Menu button . 	
B	526.13	526.95	At the centre 	
D	527.68	528.09	Mm-hmm . 	
B	528.36	536.49	we have included a button which is fluorescent green colour and this is the menu button which will control the colour , sharpness , brightness 	
D	537.24	539.69	Mm-hmm . Of the screen . Mm , mm-hmm . 	
B	538.96	540.06	of this uh picture . 	
B	543.0	547.09	We have also included a button which is called as the swapping button . 	
B	548.55	553.8	Now this is uh a special , special feature which we have included . Now this button 	
B	555.25	569.17	is an elongated shaped button and this is slightly flexible so if it is turned towards the right it will take to the previous channel , if it is turned towards the right it will take to the next channel . 	
B	570.45	573.53	It will take the user to the previous and the next channel so this is a 	
B	576.62	577.56	swapping button . 	
D	580.41	584.176	The next channel in the numeric pattern , or 	
B	584.12	594.57	No , swapping is if if example you're you're watching the second channel and then you go to the tenth channel and if you want to go back to the second channel you can swap , this button . Yes . 	
D	587.78	588.33	Yeah , mm-hmm . 	
D	590.61	590.83	Mm . 	
D	593.76	594.85	Okay , okay . 	
B	599.19	609.01	And at the end , it this remote has inbuilt voice recogniser which c which will recognise the user's voice and then it'll act accordingly . 	
A	604.16	604.29	Okay . 	
A	607.11	607.41	Mm-hmm . 	
A	612.53	613.09	Mm-hmm . 	
B	614.77	619.87	So this is our proposed model . Now the marketing expert has to 	
D	614.87	615.3	Okay . 	
D	617.29	617.57	Mm-hmm . 	
C	620.31	621.28	Tell , yeah . 	
B	621.2	627.96	give her suggestion whether it'll be sellable or it'll be cost effective . 	
D	624.448	626.502		
C	624.768	626.11		
D	628.21	629.82	Okay , well um 	
D	631.12	642.61	what what I really like a lot about it is that you can reach the whole thing with one thumb , that you can really hold it in one h you don't need two hands and it's easily reachable even for somebody with a small hand , yeah ? 	
B	635.32	636.28	Yes , yes . 	
C	637.67	638.0	Mm-hmm . 	
A	642.8	644.81	Yes the buttons are all raised , right ? 	
D	645.11	671.18	The buttons are all raised and if you hold it in the centre of your hand you can even reach it over here so you don't have to turn it around , turn it upside down , move it up , up and down , I really like that . You really did a good job on that , my little designers . Um and um I like the idea that the on-off button is in a really prominent place . That's that's a really good good thing . 	
B	645.27	645.42	Yes . 	
A	645.67	646.51	Are raised , mm-hmm . 	
A	649.7	650.05	Right . 	
A	653.18	655.22	Or have two hands to operate it , yeah . 	
B	656.85	657.11	Mm . 	
C	656.9	657.14	Mm-hmm . 	
B	659.416	661.158		
C	659.6	660.512		
A	670.81	678.08	Yes , and it sort of sticks up so that you really you don't have to g first go like oh yeah here it's on and yeah , mm-hmm . 	
D	672.2	673.46	Yeah , that's great . 	
C	674.88	675.22	Hmm . 	
D	675.92	676.36	Mm-hmm . 	
C	676.33	676.94	Mm-hmm . 	
B	676.84	677.88	Abs okay . 	
D	677.86	686.33	The colour's very attractive . Um the um these buttons uh around here are the mute 	
B	687.45	693.23	No , these the front buttons which are here , are the mute buttons . Yes , yes . 	
D	687.59	690.52	and these mm-hmm 	
D	691.59	695.61	On both sides they're mute ? So you can push either one ? Okay . 	
B	694.4	694.82	Yes . 	
A	695.7	698.06	So if you're left-handed or right-handed it doesn't matter . 	
D	697.03	703.936	And this brings the menu up on the screen ? This brings the menu up on the screen and the orange ones are 	
B	697.574	698.299		
B	699.16	699.48	Pardon me ? 	
B	699.86	701.47	This is the menu yes , yes . 	
B	704.04	712.61	A the the these these two are th to increase or decrease the volumes , and these two are to uh scroll the programme channels . 	
D	708.12	708.61	Okay . 	
D	712.1	714.89	F f okay . Right , very good . 	
B	714.08	715.69	Scroll up or scroll down the channels . 	
D	715.89	718.43	Uh it looks mm looks like something I can sell . 	
B	718.8	720.96		
C	719.696	720.704		
D	721.04	724.1	Okay and now I'm supposed to yeah . 	
A	722.55	733.8	Well , I have one question uh will there be anything written on the buttons , like that people know , or they have to learn that from a piece of paper which button does what ? 	
B	733.84	742.03	Yes , it will have uh these buttons will have the numbers and all the rest of the buttons will have symbols . Yes , which can be easily recognised . 	
C	734.11	734.46	Ah . 	
C	735.22	736.05	Yeah , definitely . 	
A	739.33	744.573	Will have symbols so that that that the user really knows you know and doesn't have to first learn it 	
D	740.48	740.64	Yeah . 	
C	740.51	741.59	Yeah . Yeah . 	
C	742.46	742.95	Yeah . 	
B	742.93	743.28	Yes . 	
C	743.52	743.87	Yeah . 	
D	743.73	749.71	Good point because we need the symbols 'cause we're going into an international market we can't have anything that's language dependent . 	
B	744.74	745.12	Yes . 	
C	746.14	747.756	Yeah of course , and also 	
B	747.97	748.2	Yes . 	
C	748.42	748.65	Hmm . 	
A	748.93	756.13	Yeah . But anyway it would ha i i i it has to have some kind of of symbols , text or something so that people kn 	
C	749.34	749.72	Yeah . 	
B	749.88	749.97	Yes . 	
C	751.61	752.535	Yeah we can 	
D	753.56	755.44	Symbols on it . Mm-hmm , mm-hmm . 	
C	753.89	754.32	Text . 	
B	754.68	755.18	Yes . 	
C	755.41	761.33	Text that we can have on the case itself , we can it will be printed on the case and symbols as well as the buttons . Yeah . 	
B	757.69	758.17	Yes . 	
A	757.72	758.05	That's right . 	
D	758.1	758.33	Mm-hmm . 	
A	759.24	761.55	Okay , yeah just wanted make sure of that mm-hmm . 	
B	760.05	760.452	And 	
B	761.28	768.08	and one more feature is we we have a holder for this remote which is an oyster shape . A shell shape . 	
D	761.58	762.17	Mm , 'kay , mm . 	
D	765.04	765.41	Mm-hmm . 	
D	768.55	790.937	For the snail , yeah , mm-hmm , we have the snail shell . He goes right back into his shell . Well you know I think we could do something really funny with this too because the snail is known to be slow and we could have some sort of little comic effect on our marketing about how this is a rapid snail or something like that you know that would , that would really work . So 	
A	769.27	770.0	Right , mm-hmm . 	
B	769.28	770.26	Yes , yes . 	
C	769.42	769.72	Yeah . 	
C	770.42	773.18	So it is yeah , yeah shell . 	
B	770.93	772.24	Yes , snail shell . 	
A	770.97	771.11	Mm-hmm . 	
B	772.92	773.31	Yes . 	
A	773.28	773.56	Right . 	
C	778.3	778.67	Mm-hmm . 	
B	784.18	784.51	Mm-hmm . 	
C	784.48	784.65	Mm . 	
